address,register,sensor_id,name,data_type,unit,scale,writeable
0,R0,ambient_error_number,Ambient Error Number,int16,,1,nein
1,R1,ambient_operating_state,Ambient Operating State,uint16,,1,nein
2,R2,ambient_temperature,Ambient Temperature,int16,°C,0.1,nein
3,R3,ambient_temperature_1h,Ambient Temperature 1h,int16,°C,0.1,nein
4,R4,ambient_temperature_calculated,Ambient Temperature Calculated,int16,°C,0.1,nein
100,R100,emgr_error_number,E-Manager Error Number,int16,,1,nein
101,R101,emgr_operating_state,E-Manager Operating State,uint16,,1,nein
102,R102,emgr_actual_power,E-Manager Actual Power,int16,W,1,nein
103,R103,emgr_actual_power_consumption,E-Manager Power Consumption,int16,W,1,nein
104,R104,emgr_power_consumption_setpoint,E-Manager Power Consumption Setpoint,int16,W,1,nein
